PREMISES_TYPE,DIVISION,OCC_HOUR,OFFENCE
Outside,D54,12,Robbery - Mugging
Educational,D55,11,Robbery - Mugging
Apartment,D14,11,Robbery - Other
Outside,D12,17,Robbery - Mugging
Outside,D12,17,Robbery - Mugging
Outside,D41,15,Robbery With Weapon
Outside,D41,15,Robbery With Weapon
Outside,D41,15,Robbery With Weapon
Outside,D41,15,Robbery - Mugging
House,D23,15,Robbery - Home Invasion
Transit,D11,19,Robbery - Mugging
Apartment,D51,6,Robbery - Mugging
Apartment,D33,15,Robbery - Other
Educational,D54,22,Robbery With Weapon
Outside,D41,15,Robbery With Weapon
Outside,D51,2,Robbery - Other
Commercial,D52,22,Robbery - Other
Commercial,D52,22,Robbery - Other
Outside,D51,21,Robbery - Mugging
Outside,D41,15,Robbery - Mugging
Outside,D41,15,Robbery - Mugging
Apartment,D51,12,Robbery - Mugging
Commercial,D54,17,Robbery - Business
Outside,D51,20,Robbery With Weapon
Outside,D13,17,Robbery - Other
Apartment,D51,12,Robbery - Mugging
House,D31,14,Robbery - Home Invasion
Outside,D41,15,Robbery - Other
Outside,D41,15,Robbery - Other
Educational,D11,16,Robbery - Mugging
Outside,D12,7,Robbery With Weapon
Commercial,D54,17,Robbery With Weapon
Other,D51,2,Robbery With Weapon
Outside,D41,15,Robbery - Swarming
Outside,D52,1,Robbery - Mugging
Commercial,D51,3,Robbery - Other
Outside,D31,20,Robbery With Weapon
House,D43,21,Robbery - Home Invasion
Commercial,D22,3,Robbery With Weapon
House,D43,21,Robbery - Home Invasion
Commercial,D14,15,Robbery - Financial Institute
Commercial,D14,14,Robbery - Financial Institute
Commercial,D14,14,Robbery - Financial Institute
Apartment,D55,17,Robbery With Weapon
Apartment,D51,19,Robbery - Delivery Person
Outside,D13,15,Robbery - Mugging
Commercial,D14,15,Robbery - Financial Institute
Outside,D23,21,Robbery - Delivery Person
Outside,D54,20,Robbery - Purse Snatch
Educational,D23,12,Robbery - Mugging
Educational,D55,12,Robbery With Weapon
Educational,D55,12,Robbery With Weapon
Educational,D55,12,Robbery With Weapon
Commercial,D43,18,Robbery - Swarming
Outside,D31,17,Robbery - Mugging
Commercial,D42,14,Robbery - Business
Transit,D11,14,Robbery - Other
Outside,D14,19,Robbery - Swarming
Outside,D14,19,Robbery - Swarming
Outside,D32,21,Robbery - Swarming
Commercial,D41,22,Robbery With Weapon
Commercial,D41,22,Robbery With Weapon
Outside,D12,14,Robbery - Other
Outside,D32,23,Robbery - Mugging
Transit,D51,22,Robbery With Weapon
Outside,D41,13,Robbery - Swarming
